"#","Old page","Old page URL","Item / card name","CTA text","Shown on","Current destination URL","Booking account","Status","Action needed"
"1","(homepage)","https://proposalperfectionnyc.com/","Marriage Proposal Service NYC: Let us bring your dream proposal to life with stunning décor and unforgettable design touches!","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/contact/11423","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"2","(homepage)","https://proposalperfectionnyc.com/","3 Hearts Set","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123104","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"3","(homepage)","https://proposalperfectionnyc.com/","Cloud 9","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123109","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"4","(homepage)","https://proposalperfectionnyc.com/","Rosie","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123098","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"5","(homepage)","https://proposalperfectionnyc.com/","Mrs. Gladys","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123097","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"6","(homepage)","https://proposalperfectionnyc.com/","Halo","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123099","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"7","(homepage)","https://proposalperfectionnyc.com/","Monterey","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123083","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"8","(homepage)","https://proposalperfectionnyc.com/","Abigail","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=61435","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"9","(homepage)","https://proposalperfectionnyc.com/","Monarch","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=61461","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"10","(homepage)","https://proposalperfectionnyc.com/","Cold Sparks","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123092","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"11","(homepage)","https://proposalperfectionnyc.com/","Confetti Machine","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123134","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"12","(homepage)","https://proposalperfectionnyc.com/","Floral Runners","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123091","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"13","(homepage)","https://proposalperfectionnyc.com/","Custom Packages","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123086","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"14","(homepage)","https://proposalperfectionnyc.com/","Custom Marriage Proposal Services New York:","Inquire Now","desktop-only","https://nyc-flower-walls-rental.checkcherry.com/reservation","NYC Flower Walls Rental — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"15","(homepage)","https://proposalperfectionnyc.com/","Ready to Pop The Big Question?","Lets Chat!","all devices","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?package_group_id=32605","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
